,card name,expansion,rarity,converted mana cost,colourless mana,coloured mana,main type,sub type,power,toughness,abilities-1,abilities-2,flavour text-1,flavour text-2,card no,artist,avg price ($),market price ($),foil avg ($),foil price ($),img url
24876,Generous Stray,Guilds of Ravnica,"
Common",3,2,Green,Creature , Cat,1,2,"When Generous Stray enters the battlefield, draw a card.", ,"Cats place their gifts with care, so that a bare foot will step on them in the middle of the night.",,129,Milivoj Ćeran,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452879&type=card
24878,Glaive of the Guildpact,Guilds of Ravnica,"
Uncommon",2,2,none,Artifact , Equipment, ,,Equipped creature gets +1/+0 for each Gate you control and has vigilance and menace. (A creature with menace can't be blocked except by two or more creatures.), ,,,236,Volkan Baga,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452986&type=card
24879,Glowspore Shaman,Guilds of Ravnica,"
Uncommon",2,0,"Black, Green",Creature , Elf Shaman,3,1,"When Glowspore Shaman enters the battlefield, mill three cards. You may put a land card from your graveyard on top of your library.", ,From death she grows living grandeur.,,173,Lars Grant-West,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452923&type=card
24880,Goblin Banneret,Guilds of Ravnica,"
Uncommon",1,0,Red,Creature , Goblin Soldier,1,1,"Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)", ,The Boros banner stands tall even if its bearer doesn't.,,102,Viktor Titov,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452852&type=card
24881,Goblin Cratermaker,Guilds of Ravnica,"
Uncommon",2,1,Red,Creature , Goblin Warrior,2,2,", Sacrifice Goblin Cratermaker: Choose one —", ,,,103,Svetlin Velinov,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452853&type=card
24883,Goblin Locksmith,Guilds of Ravnica,"
Common",2,1,Red,Creature , Goblin Rogue,2,1,"Whenever Goblin Locksmith attacks, creatures with defender can't block this turn.", ,"""He's got more finesse than most goblins. He smashes windows with his fist rather than his forehead.""",,104,Mark Behm,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452854&type=card
24889,Golgari Locket,Guilds of Ravnica,"
Common",3,3,none,Artifact,, ,,: Add or ., ,"""Wear it at all times. It will guide our reanimators to your corpse.""",,237,Milivoj Ćeran,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452987&type=card
24890,Golgari Raiders,Guilds of Ravnica,"
Uncommon",4,3,Green,Creature , Elf Warrior,0,0,Haste, ,"What the Golgari can't claim through patient undercity expansion, they seize in brazen topside sorties.",,130,David Palumbo,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452880&type=card
24891,Grappling Sundew,Guilds of Ravnica,"
Uncommon",2,1,Green,Creature , Plant,0,4,"Defender, reach", ,Some rooftop gardens attract bees, others capture dragons.,131,Sung Choi,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452881&type=card
24892,Gravitic Punch,Guilds of Ravnica,"
Common",4,3,Red,Sorcery,, ,,Target creature you control deals damage equal to its power to target player., ,,,105,Randy Vargas,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452855&type=card
24893,Gruesome Menagerie,Guilds of Ravnica,"
Rare",5,3,"Black, Black",Sorcery,, ,,"Choose a creature card with mana value 1 in your graveyard, then do the same for creature cards with mana value 2 and 3. Return those cards to the battlefield.", ,"""Variety is also the spice of death.""",,71,Yeong-Hao Han,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452821&type=card
24894,Guild Summit,Guilds of Ravnica,"
Uncommon",3,2,Blue,Enchantment,, ,,"When Guild Summit enters the battlefield, you may tap any number of untapped Gates you control. Draw a card for each Gate tapped this way.", ,"In a climate of suspicion, Isperia gathered the guilds to propose a radical idea: cooperation.",,41,Sidharth Chaturvedi,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452791&type=card
24895,Guildmages' Forum,Guilds of Ravnica,"
Rare",0,0,none,Land,, ,,: Add ., ,,,250,Adam Paquette,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=453000&type=card
24896,Haazda Marshal,Guilds of Ravnica,"
Uncommon",1,0,White,Creature , Human Soldier,1,1,"Whenever Haazda Marshal and at least two other creatures attack, create a 1/1 white Soldier creature token with lifelink.", ,Ravnica's convoluted power structure often boils down to who can muster the most swords on a given block.,,13,Josh Hass,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452763&type=card
24897,Hammer Dropper,Guilds of Ravnica,"
Common",4,2,"Red, White",Creature , Giant Soldier,5,2,"Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)", ,"Giants know a solid hit is one part strength, four parts leverage.",,176,Lake Hurwitz,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452926&type=card
24898,Hatchery Spider,Guilds of Ravnica,"
Rare",7,5,"Green, Green",Creature , Spider,5,7,Reach, ,,,132,Livia Prima,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452882&type=card
24900,Hellkite Whelp,Guilds of Ravnica,"
Uncommon",5,4,Red,Creature , Dragon,3,3,Flying, ,"""They play by spitting fire at each other. Don't be offended if one gives you a love-scorch.""",,106,Johann Bodin,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452856&type=card
24901,Hired Poisoner,Guilds of Ravnica,"
Common",1,0,Black,Creature , Human Assassin,1,1,Deathtouch, ,"""They don't even feel the cut. I'm ordering a drink in a nearby tavern before anyone notices something's wrong.""",,72,Joe Slucher,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452822&type=card
24902,Hitchclaw Recluse,Guilds of Ravnica,"
Common",3,2,Green,Creature , Spider,1,4,Reach, ,Nearly invisible strands of web reach far beyond its lair to alert it of the approach of prey.,,133,Mike Bierek,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452883&type=card
24903,House Guildmage,Guilds of Ravnica,"
Uncommon",2,0,"Blue, Black",Creature , Human Wizard,2,2,", : Target creature doesn't untap during its controller's next untap step.", ,,,177,Winona Nelson,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452927&type=card
24904,Hunted Witness,Guilds of Ravnica,"
Common",1,0,White,Creature , Human,1,1,"When Hunted Witness dies, create a 1/1 white Soldier creature token with lifelink.", ,"He ferried weapons, spells, exotic animals—but his most dangerous cargo was the truth.",,15,David Palumbo,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452765&type=card
24905,Hypothesizzle,Guilds of Ravnica,"
Common",5,3,"Blue, Red",Instant,, ,,"Draw two cards. Then you may discard a nonland card. When you do, Hypothesizzle deals 4 damage to target creature.", ,"""It's like blowing up an arcane library in a thermobaric explosion. But in a good way.""",,178,Chris Seaman,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452928&type=card
24906,Impervious Greatwurm,Guilds of Ravnica,"
Mythic Rare",10,7,"Green, Green, Green",Creature , Wurm,16,16,Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for or one mana of that creature's color.), ,The ultimate answer to intrigue and subtlety.,,273,Simon Dominic,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=455613&type=card
24907,Inescapable Blaze,Guilds of Ravnica,"
Uncommon",6,4,"Red, Red",Instant,, ,,This spell can't be countered., ,"""The Izzet are blamed for every little disaster, which is unfair because we only cause most of them.""",,107,Steve Argyle,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452857&type=card
24911,Intrusive Packbeast,Guilds of Ravnica,"
Common",5,4,White,Creature , Beast,3,3,Vigilance, ,Good at carrying things. Really good at knocking them down.,,17,Jason Felix,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452767&type=card
24914,Ionize,Guilds of Ravnica,"
Rare",3,1,"Blue, Red",Instant,, ,,Counter target spell. Ionize deals 2 damage to that spell's controller., ,"""Countermagic is a simple process of breaking matter into its elementary particles.""",,179,Chase Stone,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452929&type=card
24925,Join Shields,Guilds of Ravnica,"
Uncommon",5,3,"Green, White",Instant,, ,,"Untap all creatures you control. They gain hexproof and indestructible until end of turn. (They can't be the targets of spells or abilities your opponents control. Damage and effects that say ""destroy"" don't destroy them.)", ,"""We are the shield that never breaks, the bough that never burns, the song that can never be silenced.""",,181,Winona Nelson,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452931&type=card
24926,Justice Strike,Guilds of Ravnica,"
Uncommon",2,0,"Red, White",Instant,, ,,Target creature deals damage to itself equal to its power., ,"""Those who show no mercy to the weak deserve no mercy from the strong.""",,182,Clint Cearley,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452932&type=card
24927,Knight of Autumn,Guilds of Ravnica,"
Rare",3,1,"Green, White",Creature , Dryad Knight,2,1,"When Knight of Autumn enters the battlefield, choose one —", ,,,183,Ryan Pancoast,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452933&type=card
24928,Kraul Foragers,Guilds of Ravnica,"
Common",5,4,Green,Creature , Insect Scout,4,4,"Undergrowth — When Kraul Foragers enters the battlefield, you gain 1 life for each creature card in your graveyard.", ,"Feed on food, you eventually rot. Feed on rot, you live forever.",,135,Aaron Miller,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452885&type=card
24929,Kraul Harpooner,Guilds of Ravnica,"
Uncommon",2,1,Green,Creature , Insect Warrior,3,2,Reach, ,,,136,Kev Walker,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452886&type=card
24930,Kraul Raider,Guilds of Ravnica,"
Common",3,2,Black,Creature , Insect Warrior,2,3,Menace (This creature can't be blocked except by two or more creatures.), ,"The kraul once skulked in the outskirts of Golgari society, but with Vraska's rise, they became valued forces of the Swarm.",,270,Ben Wootten,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=455610&type=card
24931,Kraul Swarm,Guilds of Ravnica,"
Uncommon",5,4,Black,Creature , Insect Warrior,4,1,Flying, ,"The hive has a long memory. It knows how every member ever died, and to whom it owes the grudge.",,73,Jehan Choo,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452823&type=card
24932,Lava Coil,Guilds of Ravnica,"
Uncommon",2,1,Red,Sorcery,, ,,"Lava Coil deals 4 damage to target creature. If that creature would die this turn, exile it instead.", ,"""Commander, we caught the Dimir spy and took her ashes into custody.""",,108,Wesley Burt,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452858&type=card
24933,"Lazav, the Multifarious",Guilds of Ravnica,"
Mythic Rare",2,0,"Blue, Black",Legendary Creature , Shapeshifter,1,3,"When Lazav, the Multifarious enters the battlefield, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)", ,,,184,Yongjae Choi,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452934&type=card
24934,League Guildmage,Guilds of Ravnica,"
Uncommon",2,0,"Blue, Red",Creature , Human Wizard,2,2,", : Draw a card.", ,,,185,Svetlin Velinov,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452935&type=card
24935,Leapfrog,Guilds of Ravnica,"
Common",3,2,Blue,Creature , Frog,3,1,Leapfrog has flying as long as you've cast an instant or sorcery spell this turn., ,"""Most compete for insects at street level. Some dwell near Izzet laboratories and ride the thermal updrafts.""",,42,Aaron Miller,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452792&type=card
24936,Ledev Champion,Guilds of Ravnica,"
Uncommon",3,1,"Green, White",Creature , Elf Knight,2,2,"Whenever Ledev Champion attacks, you may tap any number of untapped creatures you control. Ledev Champion gets +1/+1 until end of turn for each creature tapped this way.", ,,,186,Daarken,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452936&type=card
24937,Ledev Guardian,Guilds of Ravnica,"
Common",4,3,White,Creature , Human Knight,2,4,Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for or one mana of that creature's color.), ,"""I've raised her since she was a pup, and she's raised me since I was a recruit.""",,18,Kimonas Theodossiou,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452768&type=card
24938,Legion Guildmage,Guilds of Ravnica,"
Uncommon",2,0,"Red, White",Creature , Human Wizard,2,2,", : Legion Guildmage deals 3 damage to each opponent.", ,,,187,Zack Stella,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452937&type=card
24939,Legion Warboss,Guilds of Ravnica,"
Rare",3,2,Red,Creature , Goblin Soldier,2,2,"Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)", ,,,109,Alex Konstad,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452859&type=card
24940,Light of the Legion,Guilds of Ravnica,"
Rare",6,4,"White, White",Creature , Angel,5,5,Flying, ,,,19,Alex Konstad,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452769&type=card
24941,Lotleth Giant,Guilds of Ravnica,"
Uncommon",7,6,Black,Creature , Zombie Giant,6,5,"Undergrowth — When Lotleth Giant enters the battlefield, it deals 1 damage to target opponent for each creature card in your graveyard.", ,"""I prefer the big and looming to the small and skittering.""",,74,Alex Konstad,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452824&type=card
24942,Loxodon Restorer,Guilds of Ravnica,"
Common",6,4,"White, White",Creature , Elephant Cleric,3,4,Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for or one mana of that creature's color.), ,,,20,Svetlin Velinov,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452770&type=card
24947,March of the Multitudes,Guilds of Ravnica,"
Mythic Rare",3,0,"Variable Colorless, Green, White, White",Instant,, ,,Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for or one mana of that creature's color.), ,"""Our forces number more than the leaves of Vitu-Ghazi. Do not provoke us.""",,188,Zack Stella,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452938&type=card
24948,Mausoleum Secrets,Guilds of Ravnica,"
Rare",2,1,Black,Instant,, ,,"Undergrowth — Search your library for a black card with mana value less than or equal to the number of creature cards in your graveyard, reveal it, put it into your hand, then shuffle.", ,,,75,Adam Paquette,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452825&type=card
24949,Maximize Altitude,Guilds of Ravnica,"
Common",1,0,Blue,Sorcery,, ,,Target creature gets +1/+1 and gains flying until end of turn., ,,,43,Mike Bierek,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452793&type=card
24950,Maximize Velocity,Guilds of Ravnica,"
Common",1,0,Red,Sorcery,, ,,Target creature gets +1/+1 and gains haste until end of turn., ,,,111,Svetlin Velinov,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452861&type=card
24951,Mephitic Vapors,Guilds of Ravnica,"
Common",3,2,Black,Sorcery,, ,,All creatures get -1/-1 until end of turn., ,Ravnica's safest strongholds are often neither.,,76,Darek Zabrocki,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452826&type=card
24952,Midnight Reaper,Guilds of Ravnica,"
Rare",3,2,Black,Creature , Zombie Knight,3,2,"Whenever a nontoken creature you control dies, Midnight Reaper deals 1 damage to you and you draw a card.", ,"No one welcomes his visit, yet all must grant him tribute.",,77,Sidharth Chaturvedi,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452827&type=card
24955,Mission Briefing,Guilds of Ravnica,"
Rare",2,0,"Blue, Blue",Instant,, ,,"Surveil 2, then choose an instant or sorcery card in your graveyard. You may cast it this turn. If that spell would be put into your graveyard this turn, exile it instead. (To surveil 2, look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)", ,,,44,Matt Stewart,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452794&type=card
24956,Mnemonic Betrayal,Guilds of Ravnica,"
Mythic Rare",3,1,"Blue, Black",Sorcery,, ,,"Exile all cards from all opponents' graveyards. You may cast spells from among those cards this turn, and you may spend mana as though it were mana of any type to cast those spells. At the beginning of the next end step, if any of those cards remain exiled, return them to their owners' graveyards.", ,,,189,Clint Cearley,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452939&type=card
24957,Molderhulk,Guilds of Ravnica,"
Uncommon",9,7,"Black, Green",Creature , Fungus Zombie,6,6,Undergrowth — This spell costs less to cast for each creature card in your graveyard., ,,,190,Titus Lunter,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452940&type=card
24958,Moodmark Painter,Guilds of Ravnica,"
Common",4,2,"Black, Black",Creature , Human Shaman,2,3,"Undergrowth — When Moodmark Painter enters the battlefield, target creature gains menace and gets +X/+0 until end of turn, where X is the number of creature cards in your graveyard. (It can't be blocked except by two or more creatures.)", ,,,78,Scott Murphy,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452828&type=card
24965,Muse Drake,Guilds of Ravnica,"
Common",4,3,Blue,Creature , Drake,1,3,Flying, ,A composer wrote a symphony based on the drakes screeching outside her window. Reviews were mixed—except among the drakes.,,46,Titus Lunter,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452796&type=card
24967,Necrotic Wound,Guilds of Ravnica,"
Uncommon",1,0,Black,Instant,, ,,"Undergrowth — Target creature gets -X/-X until end of turn, where X is the number of creature cards in your graveyard. If that creature would die this turn, exile it instead.", ,The assassins of the Ochran distill toxins from the remains of their previous victims.,,79,Randy Vargas,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452829&type=card
24968,Never Happened,Guilds of Ravnica,"
Common",3,2,Black,Sorcery,, ,,Target opponent reveals their hand. You choose a nonland card from that player's graveyard or hand and exile it., ,Dimir assassins have the precision to slay a single memory.,,80,Aaron Miller,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452830&type=card
24969,Nightveil Predator,Guilds of Ravnica,"
Uncommon",4,0,"Blue, Blue, Black, Black",Creature , Vampire,3,3,"Flying, deathtouch", ,"""Three daggers left in an angel's back, three enforcers with memory loss, three keys stolen from my own belt—and you talk of peace?""",,191,Darek Zabrocki,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452941&type=card
24970,Nightveil Sprite,Guilds of Ravnica,"
Uncommon",2,1,Blue,Creature , Faerie Rogue,1,2,Flying, ,"""We're on the fortieth floor, with one window, no balcony. No one could possibly get in.""",,48,Uriah Voth,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452798&type=card
24971,"Niv-Mizzet, Parun",Guilds of Ravnica,"
Rare",6,0,"Blue, Blue, Blue, Red, Red, Red",Legendary Creature , Dragon Wizard,5,5,This spell can't be countered., ,,,192,Svetlin Velinov,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452942&type=card
24972,Notion Rain,Guilds of Ravnica,"
Common",3,1,"Blue, Black",Sorcery,, ,,"Surveil 2, then draw two cards. Notion Rain deals 2 damage to you. (To surveil 2, look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)", ,City air is a constant drizzle of private thoughts.,,193,Lius Lasahido,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452943&type=card
24973,Nullhide Ferox,Guilds of Ravnica,"
Mythic Rare",4,2,"Green, Green",Creature , Beast,6,6,Hexproof, ,,,138,Filip Burburan,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452888&type=card
24974,Ochran Assassin,Guilds of Ravnica,"
Uncommon",3,1,"Black, Green",Creature , Elf Assassin,1,1,Deathtouch, ,"""The dagger is just the distraction. I carry the real killer in a vial at my side.""",,194,Anna Steinbauer,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452944&type=card
24975,Omnispell Adept,Guilds of Ravnica,"
Rare",5,4,Blue,Creature , Human Wizard,3,4,", : You may cast an instant or sorcery spell from your hand without paying its mana cost.", ,She memorized every arcane text in the Ismeri Library by the time she was sixteen. Now she quizzes sphinxes in her spare time.,,49,Jason Rainville,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452799&type=card
24977,Overgrown Tomb,Guilds of Ravnica,"
Rare",0,0,none,Land , Swamp Forest, ,,(: Add or .), ,Cradle of the Golgari's new kingdom. Grave of those who wronged its queen.,,253,Yeong-Hao Han,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=453003&type=card
24978,Pack's Favor,Guilds of Ravnica,"
Common",3,2,Green,Instant,, ,,Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for or one mana of that creature's color.), ,Selesnya grows its ranks in more ways than one.,,139,Lius Lasahido,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452889&type=card
24979,Parhelion Patrol,Guilds of Ravnica,"
Common",4,3,White,Creature , Human Knight,2,3,"Flying, vigilance", ,"""Too many have disappeared in these dark days. I am the light that will lead them home.""",,22,Even Amundsen,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452772&type=card
24980,Passwall Adept,Guilds of Ravnica,"
Common",2,1,Blue,Creature , Human Wizard,1,3,: Target creature can't be blocked this turn., ,"""My doors are called trespassing, my signatures, forgeries. They don't respect my talents, and I don't respect their labels.""",,50,John Thacker,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452800&type=card
24981,Pause for Reflection,Guilds of Ravnica,"
Common",3,2,Green,Instant,, ,,Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for or one mana of that creature's color.), ,,,140,Alayna Danner,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452890&type=card
24982,Pelt Collector,Guilds of Ravnica,"
Rare",1,0,Green,Creature , Elf Warrior,1,1,"Whenever another creature you control enters the battlefield or dies, if that creature's power is greater than Pelt Collector's, put a +1/+1 counter on Pelt Collector.", ,,,141,Zoltan Boros,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452891&type=card
24983,Pilfering Imp,Guilds of Ravnica,"
Uncommon",1,0,Black,Creature , Imp,1,1,Flying, ,,,81,Igor Kieryluk,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452831&type=card
24984,Piston-Fist Cyclops,Guilds of Ravnica,"
Common",3,1,"Blue or Red, Blue or Red",Creature , Cyclops,4,3,Defender, ,Its hyperpneumatics can punch through a wall and the spy on the other side.,,217,Wayne Reynolds,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452967&type=card
24985,Pitiless Gorgon,Guilds of Ravnica,"
Common",3,1,"Black or Green, Black or Green",Creature , Gorgon,2,2,Deathtouch, ,"""The reign of the Swarm begins. Let us rise now and dress ourselves in vengeance.""",,218,Alex Konstad,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452968&type=card
24991,Precision Bolt,Guilds of Ravnica,"
Common",3,2,Red,Sorcery,, ,,Precision Bolt deals 3 damage to any target., ,Ral had wielded lightning all his life but had never harnessed the power of an entire guild.,,267,Grzegorz Rutkowski,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=455607&type=card
24993,Price of Fame,Guilds of Ravnica,"
Uncommon",4,3,Black,Instant,, ,,This spell costs less to cast if it targets a legendary creature., ,,,83,Winona Nelson,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452833&type=card
24994,Quasiduplicate,Guilds of Ravnica,"
Rare",3,1,"Blue, Blue",Sorcery,, ,,Create a token that's a copy of target creature you control., ,"""My greatest creation—me!""",,51,Dmitry Burmak,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452801&type=card
24995,Radical Idea,Guilds of Ravnica,"
Common",2,1,Blue,Instant,, ,,Draw a card., ,"Genius is finding the edge of what's possible, then jumping over it.",,52,Izzy,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452802&type=card
24996,"Ral, Caller of Storms",Guilds of Ravnica,"
Mythic Rare",6,4,"Blue, Red",Legendary Planeswalker , Ral,4,,+1: Draw a card., ,,,265,Kieran Yanner,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=455605&type=card
24998,Ral's Dispersal,Guilds of Ravnica,"
Rare",5,3,"Blue, Blue",Instant,, ,,"Return target creature to its owner's hand. You may search your library and/or graveyard for a card named Ral, Caller of Storms, reveal it, and put it into your hand. If you search your library this way, shuffle.", ,,,266,Lake Hurwitz,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=455606&type=card
24999,Ral's Staticaster,Guilds of Ravnica,"
Uncommon",4,2,"Blue, Red",Creature , Viashino Wizard,3,3,Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.), ,,,268,Even Amundsen,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=455608&type=card
25000,Rampaging Monument,Guilds of Ravnica,"
Uncommon",4,4,none,Artifact Creature , Cleric,0,0,Trample, ,"""Be advised: suspect is nine stories tall, marble hair, answers to Saint Gusztav.""",,239,Tyler Walpole,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452989&type=card
25003,Rhizome Lurcher,Guilds of Ravnica,"
Common",4,2,"Black, Green",Creature , Fungus Zombie,2,2,Undergrowth — Rhizome Lurcher enters the battlefield with a number of +1/+1 counters on it equal to the number of creature cards in your graveyard., ,"""The dead gain new purpose here. What is strange in the eyes of other guilds is harmonious in ours.""",,196,Mathias Kollros,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452946&type=card
25005,Risk Factor,Guilds of Ravnica,"
Rare",3,2,Red,Instant,, ,,"Target opponent may have Risk Factor deal 4 damage to them. If that player doesn't, you draw three cards.", ,,,113,Chris Seaman,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452863&type=card
25006,Ritual of Soot,Guilds of Ravnica,"
Rare",4,2,"Black, Black",Sorcery,, ,,Destroy all creatures with mana value 3 or less., ,"Only the patrol's armor was found, so tainted with the acrid smell of sudden death that it could never be worn again.",,84,Dimitar Marinski,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452834&type=card
25007,Roc Charger,Guilds of Ravnica,"
Uncommon",3,2,White,Creature , Bird,1,3,Flying, ,Rocs' innate fearlessness makes them ideal mounts for emergency response.,,24,Titus Lunter,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452774&type=card
25008,Rosemane Centaur,Guilds of Ravnica,"
Common",5,3,"Green, White",Creature , Centaur Soldier,4,4,Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for or one mana of that creature's color.), ,"""I long for peaceful times, when I may tend to my garden instead of our borders.""",,197,Nils Hamm,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452947&type=card
25009,Rubblebelt Boar,Guilds of Ravnica,"
Common",4,3,Red,Creature , Boar,3,3,"When Rubblebelt Boar enters the battlefield, target creature gets +2/+0 until end of turn.", ,"Some Gruul druids believe that boars are spawn of the great Ilharg, the mighty Raze-Boar who will one day rise and level the city.",,114,Tomasz Jedruszek,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452864&type=card
25010,Runaway Steam-Kin,Guilds of Ravnica,"
Rare",2,1,Red,Creature , Elemental,1,1,"Whenever you cast a red spell, if Runaway Steam-Kin has fewer than three +1/+1 counters on it, put a +1/+1 counter on Runaway Steam-Kin.", ,,,115,Jason Felix,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452865&type=card
